condition,tautology,negPresent,neg,OOV,length,addTo
"in datafile: cond0, cond1,…,cond99",,is negation present in the tautology,negator (if present) or n if not present,"至少有一个词不在OCNLI.train的词库里
At least one word is not present in the vocabulary of OCNLI.train",char,whether the tautology is added to premise or hypothesis
0,布什不是女的。,y,不,n,6,prem
1,上海不是中国首都。,y,不,n,8,prem
2,太阳不是从西边升起的。,y,不,n,10,prem
3,美国总统不是日本人选举的。,y,不,n,12,prem
4,毛泽东是不会把兵权交给美国的。,y,不,n,14,prem
5,刚做完手术出院的病人不应剧烈运动。,y,不,n,16,prem
6,婴儿不会插秧。,y,不,插秧,6,prem
7,人不可以死而复生。,y,不,死而复生,8,prem
8,秦始皇不是唐朝的皇帝。,y,不,秦始皇,10,prem
9,芬兰不是安理会常任理事国。,y,不,芬兰,12,prem
10,特朗普不愿意在总统大选中屈服。,y,不,屈服,14,prem
11,再聪明的猪也是猪，不可能会写毛笔字。,y,不,毛笔,16,prem
12,猪没有长翅膀。,y,没,n,6,prem
13,一千年前没有美国。,y,没,n,8,prem
14,贾宝玉没娶林黛玉为妻。,y,没,n,10,prem
15,2015年世界还没有新冠疫情。,y,没,n,12,prem
16,中国没有和南美国家发生过战争。,y,没,n,14,prem
17,中国球员从来没有得过世界足球先生。,y,没,n,16,prem
18,巴林没伊朗大。,y,没,巴林,6,prem
19,北极熊没吃过企鹅。,y,没,企鹅，北极熊（but we have 北极and熊）,8,prem
20,文莱还没参加过世界杯。,y,没,文莱,10,prem
21,恐龙从来没有在二叠纪出现。,y,没,二叠纪,12,prem
22,诸葛亮尽管大权在握，但没有篡位。,y,没,篡位,14,prem
23,来自太平洋的台风从没登陆过海参崴。,y,没,海参崴,16,prem
24,真的不是假的。,y,不,n,6,prem
25,希拉里是女的。,n,n,n,6,prem
26,华盛顿是美国首都。,n,n,n,8,prem
27,太阳总是从东边升起来。,n,n,n,10,prem
28,美国总统是美国人选举出的。,n,n,n,12,prem
29,韩国人应该会把兵权交给美国的。,n,n,n,14,prem
30,刚做完手术出院的病人应该尽量休息。,n,n,n,16,prem
31,水稻需要插秧。,n,n,插秧,6,prem
32,耶稣可以死而复生。,n,n,死而复生,8,prem
33,秦始皇是秦朝的皇帝。,n,n,秦始皇,10,prem
34,英国是世卫组织的成员国。,n,n,世卫组织,12,prem
35,麦凯恩在总统大选中曾经失利。,n,n,麦凯恩,14,prem
36,北宋著名文学家苏东坡会写毛笔字。,n,n,苏东坡,16,prem
37,鸟类都有翅膀。,n,n,n,6,prem
38,百年前就有美国了。,n,n,n,8,prem
39,贾宝玉娶了薛宝钗为妻。,n,n,n,10,prem
40,2020年世界上有了新冠疫情。,n,n,n,12,prem
41,英国曾经和南美国家发生过战争。,n,n,n,14,prem
42,葡萄牙球员曾经得过世界足球先生。,n,n,n,16,prem
43,伊朗比巴林大。,n,n,巴林,6,prem
44,北极熊吃过海豹。,n,n,海豹,8,prem
45,科特迪瓦参加过世界杯。,n,n,科特迪瓦,10,prem
46,恐龙曾经在白垩纪时代出现过。,n,n,白垩纪,12,prem
